"","ID","RegionName","NVotes","Leave","Residents","Households","AdultMeanAge","White","Owned","OwnedOutright","SocialRent","PrivateRent","Students","Unemp","UnempRate_EA","HigherOccup","Density","Deprived","MultiDepriv","Proportion","Vote","Age_18to44","Age_45_above","non_white","high_education_level","low_education_level","High_education_level","Low_education_level"
"1",1,"WM",9656,2793,30258,15726,34.2,49.4,21.5,7.4,29.2,46.3,23.2,7,9.9,47.9,54.5,67.9,24.6,0.289250207125104,"Remain",69.8,17.7,56.6,45.8,12.8,45.8,12.8
"2",2,"L",6022,905,14489,5647,42.2,39.1,19.4,7.1,46.9,28.9,9.1,10.1,16.3,19,78.9,81.2,46.8,0.150282298239787,"Remain",42.7,27.3,55.1,20.2,29.2,20.2,29.2
"3",3,"EE",3637,2062,8698,3592,47,77.8,52.5,19.3,34.5,10.6,5.2,6.6,9.4,25.4,21.8,63.5,28.6,0.566950783612868,"Leave",36.6,36.6,24.1,18.6,25.5,18.6,25.5
"4",4,"L",5610,3286,10029,4275,46.6,81.6,56.4,17.6,31.3,10.4,4.3,5.8,8.3,31.7,42,63.9,30.9,0.585739750445633,"Leave",38.1,36.8,19,22.1,26,22.1,26
"5",5,"EE",5976,3975,11205,4802,47.2,94.4,57.6,18.6,22.2,18.4,2.6,5.3,7.6,27.7,30.2,64.5,30.4,0.665160642570281,"Leave",36,40.5,5,15.4,27.4,15.4,27.4
"6",6,"EE",2550,1138,5069,2148,48.6,93.1,81.5,31.8,4.8,12,3,2.2,2.8,41.3,2.1,44.1,12.9,0.446274509803922,"Remain",34.8,46,7.5,34.9,13.7,34.9,13.7
"7",7,"NW",5678,3242,11956,5425,46.4,88.3,52.2,20.2,24,22.1,6,4.7,6.8,28.3,33.1,65.4,33.6,0.570975695667489,"Leave",40.4,39.9,13.3,22.8,28.2,22.8,28.2
"8",8,"WM",15148,7519,24125,10198,52.4,89.3,84.8,35.8,5.8,8.4,3,3,4.2,49.9,17.2,47.9,16.7,0.496369157644574,"Remain",29,49.6,15.4,37.8,16.9,37.8,16.9
"9",9,"NW",5342,3619,11120,5130,50.1,95.7,57.1,22.1,32.9,8.7,2.9,6.2,9.8,21.7,39.3,70.6,36.9,0.677461624859603,"Leave",32.4,46.6,4.4,13.6,33.7,13.6,33.7
"10",10,"WM",3675,2762,7316,3004,48,97.4,53,19.3,33.7,10.7,2.9,7.2,11,16.5,50.8,72.9,42,0.75156462585034,"Leave",34.4,41.3,3.1,9.4,38.5,9.4,38.5
"11",11,"EE",5279,2587,9547,3779,45.6,79.7,67.7,20,16.8,13.7,4.8,3.3,4.4,41.8,19.1,50.8,18.6,0.490054934646713,"Remain",39.1,36.4,20.6,32,16.7,32,16.7
"12",12,"NW",3150,1499,6780,2442,45,43.5,68.9,38.3,15.5,13.8,5.7,5.5,9.4,17.8,21.9,71.4,37.2,0.475873015873016,"Remain",38.1,31.9,106.2,15.2,34.2,15.2,34.2
"13",13,"L",3961,1648,11184,3487,44.4,26.6,60.9,25.9,12.1,24.8,8.4,4.9,7,26.4,89.5,69.6,32.4,0.416056551375915,"Remain",42.6,36.3,118.3,27.6,23.4,27.6,23.4
"14",14,"NW",5101,3115,6676,2837,52.9,98.2,90.2,39.5,2.5,6.5,3.1,2.1,3,38.9,6.1,50.6,17.9,0.610664575573417,"Leave",27.4,54.1,2,28.7,20.4,28.7,20.4
"15",15,"WM",8022,6067,13046,5733,51.3,97.5,72.6,34.4,20.1,5.7,2.6,4.7,7,25.4,32.6,64.3,30.9,0.756295188232361,"Leave",31.9,49.9,2.9,15.9,33.9,15.9,33.9
"16",16,"L",6471,1288,16854,7158,39.6,37.9,15.7,4.3,58.9,22.9,9.6,8.7,11.9,36.1,143,70.9,34.2,0.199041879153145,"Remain",50.6,25.3,57.5,36.8,17.6,36.8,17.6
"17",17,"NW",2720,1408,4363,1830,51,98.5,90,37.1,1.2,8.4,2.5,2.1,2.9,52.9,0.7,37,10.6,0.517647058823529,"Leave",27.4,53,1.5,45.1,12.4,45.1,12.4
"18",18,"L",7401,3375,16638,7870,43,51.3,38.9,15.4,14.7,43.1,5.3,5.5,7.3,48.7,45.3,59,22.8,0.456019456830158,"Remain",50.5,30.2,62.6,45.9,12.3,45.9,12.3
"19",19,"NW",7066,3578,14986,6332,45.8,91.2,58.2,16.6,25.2,14.9,3.5,5.4,7.5,31.2,51.7,59,28.5,0.506368525332579,"Leave",39.4,35.3,10.6,23.7,26,23.7,26
"20",20,"Y",6198,4476,12654,5359,48.6,98.3,61.5,24.7,20,16.9,2.5,7.8,11.9,18.9,6.3,69,36.5,0.72216844143272,"Leave",34.1,43.4,1.8,12.1,34.5,12.1,34.5
"21",21,"SE",3344,2133,7635,3204,47.7,91.8,55.5,16.2,31.9,9.8,2.4,4.7,6.1,32.9,34.9,57.8,24.1,0.637858851674641,"Leave",37.2,39.9,9.9,20.8,24.5,20.8,24.5
"22",22,"SE",2238,1534,5920,2554,51,95.6,53.6,19.9,39,5.6,1.9,5.3,8.2,17.2,52.8,73.4,38.7,0.685433422698838,"Leave",32,45.8,4.1,9.8,40.7,9.8,40.7
"23",23,"L",5705,4309,12534,5016,48.5,84.3,77.4,30.7,8.9,12.8,3.4,4.8,6.8,24.5,8.3,64,27.3,0.755302366345311,"Leave",33.9,44.1,18.2,14.9,29.8,14.9,29.8
